Description,Commenting,Ogling/Facial Expressions/Staring,Touching /Groping
Catcalls and commenting st bus stand during morning and afternoon.,1,0,0
i was walking to my home after school and while i was walking one boy just came infront of me and told me that he loves me. i didnt knew that guy so i ignored him but he was continuously following me and no body helped me,1,0,0
Some guys misbehaved with us.,1,1,1
teachers  beating  pupils,0,0,0
The culprit was staring at a group of girls and was staring and commenting in a very cheap way . This incident happened during afternoon .,1,1,0
I am shocked why there have been no incident reported from the Pink City.Eve Teasing is so very common that it happen to girls almost every day.Well Let me share 1 such incident of my friend.We were studying in 1 of the prestigious girls college in Jaipur and were staying as a paying guest in Cscheme jaipur.Two of my friends went out to market to get something when suddenly 1 car came. I think they were 45 boys in the car.One of them tried to drag my friend in the car by groping in wrong place.Luckily the other friend saved her by shouting .It was so dreadful.She still cannt forget the incident..This is not just 1 case.. These kind of incidents keep happening there ..,1,0,1
"report was made on dadar street market, exact location was between bigg sale to maitreen shop. The participants don't feel safe at dadar street market  due to many instances of stalking",0,0,0
There was commenting and taking pictures during evening .,1,0,0
i saw a man forcefully taking a girl with him. i did not know what to do to help her and no one around helped her either. this happened at night in the thursday market.,0,0,1
Boys were commenting and shouting at me.,1,0,0
he touched my breast and back,0,0,1
boy touched one girl in public bus,0,0,1
step mother chasing a girl out of the house at night,0,0,0
"I was heading to work when I noticed someone following me,I decided to change routes and thats when he shoouted saying am a prostitute and didnt have a golden vagina..!!!",1,0,0
"Ogling/Facial Expressions at Gurgaon, Sohna",0,1,0
harassment,0,1,0
bikers do this mostly,1,0,0
"I was enjoying an ice cream with my family and we were having a good time,I suddenly felt someone grab my hips, at first I felt it happened accidentally but later on had to go through the torture twice,I was scared to death and felt helpless,The scoundrel was tall,Had long hair, had a dark complexion,seemed to be like a drug addict,I can recognise his face which still haunts me.....",0,0,1
in night my chain and phone was snatched,0,0,0
a group of boys were standing there and starring at us. as we started moving one of them commented on my friend.,1,1,0
"Sitting at desk, working, manager comes asking for some update, stares only at chest of females.Also makes indecent remark to a newly joined member regarding her saree.",1,1,0
men see me,1,0,0
"she was impregnated while in school, boys used to call every time and harass her",1,0,0
The guy just stood in front of a door obstructing my way and causing harassment.,0,0,0
One tall boy almost regularly teases me. He comes to my gate and catcalls and sings song in an indecent manner.,1,0,0
"a neighbour forcefully drugged a girl to his house, locked her and sexually assaulted her",0,0,0
Ogling and touching in the general compartment of the Dombivli train.,0,1,1
A group of people teasing girls and mouthing bad words,1,1,0
"A friend of mine had sexually harassed in the bus,though the seat of other bus was vacant that old guy sat near by her and keep on touching her intentionally then she didn't want to create a scene and get off from the bus though it wasn't her stop.",1,1,1
The man invited me for sexual pleasure.It happened,0,0,0
"I was on my way to school, an old man was coming towards me. He groped by breasts and it hurt a lot. I was very scared and I just ran to my school. I told my friends about it and they laughed at me and made fun of me. I've kept shut ever since.",0,0,1
I was followed by a drunk man.,0,1,1
A man came close to me when I was waiting my friend in a road. He said he would give me big money if I went with him for sex.,0,0,0
Indecent Environment in this area with lot of drunkers.,0,0,0
I saw a boy going on a bike commenting on a girl.It happened in the evening.,1,0,0
"people commenting, taking pictures . its daily business",1,1,0
some boys commented bad words to me.,1,0,0
mumbai central station,0,0,0
We were walking around India gate when a guy was constantly clicking our pictures . I personally went after him and deleted the pictures . It'd happened during afternoon .,0,0,0
An old person was touching my friend in a bus in evening when there was a lot of rush.,1,0,1
I was walking when a man came and started telling me that nowadays I have stopped talking to him and told me to go with him to his house,0,0,0
i was molested at murga chowk. 2 men snatched my dupatta and started touching me inappropriately in broad daylight. its horrifying that we are not safe even during the day,0,0,1
I was going to buy  kerosene and a man stopped me covered my mouth and tried to touch breasts,0,0,1
Breast Groped,0,0,1
A person on the Delhi metro was taking pictures of girls on his cell phone.,0,0,0
chasing on  a bike.,0,0,1
its a ladies hostels area..many guys stands there and comments..and some shows internal parts while crossing from the area..plz some1 help to make that area free from the idiots ..some will touch while walking from the bike..so pathetic..,0,0,1
"While walking in evening , a guy passed me and commented quot oye hoye , Kya lag rhi hai..quot",1,0,0
"During afternoon , while travelling in metro , there was lot of touching I the general compartment .",0,0,1
Staring and touching,0,0,1
The incident took place in a bus when two guys were clicking pictures . It happened during afternoon .,0,0,0
some guys were following and passing comments.,1,0,0
It happened at night,1,0,0
staring,0,1,0
i was followed and commented by the a man while i was walking on the street,1,0,0
nothing has happened yet but my aunt was teased by group of boys while going to college,1,0,0
Whistling and passing valgur comments,1,0,0
showing vulgal pictures through fb mgs to one of my relatives,0,0,0
"Verbal sexual harassment, sexual invites,touching, etc.",0,0,1
Touching inappropriately in metro during afternoon.,0,0,1
chain snatched by a man who is nearly 35yrs old,0,0,0
"during my college one of my englis teacher used to touch my hand, back and stare very badly .i dont know from where he got my number he stared calling me everyday.due to this i have to switch my phone off for several month",0,0,1
boys snatched chain of a woman,0,0,0
we were coming from school and we met some boys on the way and they were calling my friend telling her irrelevant things,0,0,0
A man showed me his private place while he was on a scooter and then acted as though nothing happened.,0,0,0
A man touched a body part while we were playing holi.,1,0,1
Men catcall and comment while im either on my way to school or on my way back home.,1,0,0
A conductor said very bad comments to me inside a bus.,1,0,0
"once I was going back to my home, there was a guy who was starring at me and kept on commenting. (busesdhaula kuan)",1,0,0
I was in the Buddh Bazaar shopping when a man  was whistling and walking by my side giving wrong expressions,0,1,0
Indecent Behaviour,0,0,0
"In public transport , touching and groping happens all the time . Stupid personalities are present everywhere in Delhi .",0,0,1
A group of guys on bike were passing comments on girls.It happened in the evening.,1,0,0
"A friend of mine was raped. She was planned by a group of boys who she dated at once .She had a date with her boyfriend.On their way,she never knew that she had been planned by the other boys who came and took her to the field and raped her until she went unconscious",0,0,0
"this incident happened on 40 foota road, vikas nagar, phase 3. 2 men molested my friend in a street near her house.",0,0,1
I was at the tap when a boy came to pour water.  He found a 14 years old girl waiting  to fetch water and just grabbed her hands and dragged her away.,0,0,1
Car parks are particularly scary ... public spaces after dark or at dusk on your own are not pleasant and I would avoid them.,0,0,0
"a teacher used to assault me , when i told my mother about it,she asked me not to go to tuition",0,0,0
There were cheap comments and whistles while I was boarding the metro in the morning .,1,1,0
tuition teacher used to touch in the chest and used to talk about sex and show pornographic video,1,0,1
"Ogling, facial expressions, commenting",1,1,0
"commenting, regular basis near the Club gym",1,1,0
some guys were wistling me and my friends on my way,1,0,0
"When I was walking to my aunts place, I saw a group of boys they called me to come and I refused .One of them walked up to me and touched by breasts ,when I wanted to react they started insulting me.",0,0,1
"They were in the same metro and they passed cheap comments,followed and tried to take pictures.It happened at rajiv chowk metro station in the afternoon.",1,0,0
when i was going to my home that time a group of boy was bulling and taking picture of a girl. boys they girl and that time girls went to her home.,0,1,0
I was physically touched in my private parts at evening time in a crowded street of newroad.,1,0,1
a man felt my friend's hand with his genitals,0,0,1
in public vehicle one boy touched my body.,0,0,1
called us by some local names like chinky,1,0,0
Yester evening my wife was comming from vastrapur to Nandan Baugh and on the way one guy in a motorcycle was doing catcalls and commenting at 9 pm.Since the strech from BOPAL444 TO Applewood is very isolated.Request the authority's to try patrolling in that road as many ladies go to work and come home late till 9.30,1,0,0
A boy always harrassed me while I used to return home from college.,1,1,0
I was going to my home when an uncle passing by hit me from front and moved ahead.,0,0,1
i am a girl and was going to school.It was sunday and some of the boys commented while passing.That was very depressing for me and I went to home after than rather than going to school,1,0,0
I mate some two men on my way home from school and they told me that they feel like having sex with me.,1,0,0
Staking and indecent messages to a friend who is  from north east,1,0,0
"From the bus stop where I would board my bus, three cars would pass by one after the other and sometimes even follow me to school.",0,0,0
"LOL, IT HAPPENS EVERYDAY HERE! NOW WE ARE ACTUALLY USED TO IT",1,1,1
More like eveteasing. Nothing to a very great extent but two guys tried to follow me on my way back home and behaved indecently.,1,1,0
"I was pinched on my a when I was returning from college, on the bus 29C, and only because I had two stops, because I was told so, not exactly in those words, in English. I could have slapped him, but both my hands were full and my bag was on my back. Also, the 29C is also pretty crowded in the evening so I didn't have enough space to do anything. I wish this was stopped.",0,0,0
WHILE COMING FROM CLASSES I SAW A GROUP OF BOYS WERE TEASING A GIRL.,1,0,0
a group of girls of us were travelling in a public vehicle the conductor of the vehicle teases us.,1,0,0
I was walking on the road and a bike came behind me and they pulled my hand while they were driving. It was a full road,0,0,1
Touching in DTC bus at Gagan vihar in the afternoon on 24th August 2012,0,0,1
once i was in grant road station where i was intentionally groped by the elbow by a man who kept oggling till i took the local train.,0,1,1
commenting and boys taking our pictures,1,0,0
this guy was whistlig and commenting,1,0,0
"Commenting,ogling and catcalls in Local market in areas with quotwine and beer shopsquot specifically in back area of Netaji Subhash palace complex,bylanes etc.",1,1,0
"street harassmenta month ago when I was coming back to buea at the bus station a guy suddenly snacthed my travelling box from me and when I asked him to return my box he started insulting me but for me I did not stop as I gave him what he wanted,insult him also.",0,1,0
in night i witnessed it more than2 3 times,1,0,0
"my college friend commented on my short dress in the canteen, said it is instigating him to do bad things to me",1,0,0
Three guys were commenting on a girl's dressing style.,1,0,0
Harassed in the afternoon,1,0,0
"two girls were ogled at,at Chandivali Junction",0,1,0
harassment,0,0,0
guys were whistling,1,1,0
Roadside boys hooting and commenting,1,1,0
I saome women being followed by men at night,0,0,0
Passerby's passed leud comments.Evening time.,1,0,0
"every day this bridge is too crowded,cannot walk properly on office times in morning and daily some men or the other take advantage by touching women. not a single police personnel is there to look what is happening? its continuously happening there, sometime there lights don't work on the bridge its too difficult to walk in dark on this bridge.",0,0,1
"Harassment by boys who comment, take pictures and whistle",1,0,0
"The place is sector 16 of Vashi, Navi Mumbai. It was 10.30 PM, as I got down at the sector 16 bus stop from BEST 525 bus and started walking towards home. The footpath is shady without street lights, so I decided to walk along the road. As I was walking, someone loudly screamed from the footpath ... quotae idhar idhar dekhquot. I involuntarily turned in that direction to see a guy (a labourer) masturbating himself and smiling at me as he did so! I was shocked but I didn't wait around. I just turned my back on him and walked away briskly to the spot where there are lights and where there was crowd. He kept following me for sometime but after he found out that I was headed in a direction where there were many people, he turned around and went his way.I was shaken as I reached home. All I felt was fear. But now that I'm reflecting on it, it feels I should have punched him for good. However, running away was all I could think of at that moment!",1,0,0
I was with my friends  and suddenly some guys started whistling and we went hurriedly.It happened in the evening.,0,0,0
a girl was being called by some boys and winking at her,0,0,0
she was on her way to town when she realised that her neighbour had followed her from kibera to her place of work.,0,0,0
Stalking and commenting by a group of men,1,0,0
i was walking towards my house while this guy started commenting,1,0,0
I was stared at by a man as I was waiting for an Ola Cab outside Gate 4 of the Metro station. His stare lingered and made me thoroughly uncomfortable.,0,1,0
"There were 78 people who were following, whistling and asking for my number.",1,0,0
"while travelling in the bus, there was a person standing behind me and was fully on me. He was touching my body parts and when I pointed it out to him, he said the bus is crowded and thats why it happened, but I could feel it that it was not because of the rush",0,0,1
Commenting  Rangpuri in evening,1,0,0
A woman was harassed in Mutengene by thieves( dealers) and money was taken from her,0,1,0
"I was on my to church when amn started calling me sweetie, baby. I was in great fear because he was approaching me",1,0,0
I was in a public space when i saw a man doing offensive actions.,0,0,0
there is a day I was walking with my friend and then one of the boys from the street shouted at her saying that she is his size,1,0,0
"Om Sai Beach Huts is not safe for female solo travellers. While the owner, Gaurav Bhagat, was drunk he told me that he and the staff were watching me to see if I was sleeping with my friend. (who was there and staying in a seperate room)  And that he called them to check what we were doing, and that the ENTIRE STAFF was giving him information about my activities and whereabouts. What bothers me most is NOT that he hit on me eventually  but that he and your staff were watching me and they were reporting to you what I was doing. That does not make me feel safe, in fact, because of this I have many doubts about the overall safety of the place. The hut and bathroom had holes in the walls where someone could see inside. I overlooked them, but now I doubt that someone was watching me while I slept and changed clothes and other things which require privacy. I cannot recommend this place to anyone knowing what he told me.",1,1,0
"three boys normally sit at a spot called quotbiasharaquot and wait for me to pass so that they can comment on my dressing,one day they whistled at me and I ignored.they insulted me",1,0,0
"Poor lighting when walking up Channing to turn on Warring, catcalling as well.",0,0,0
NO street light,0,0,0
This incident took place in September 2012 during morning around 1011am.A girl who was driving a twowheeler.Two boys hit her Activa scooty softly and then touched her back and swepting clothes.,0,1,1
I was travelling in a bus on delhi merut highway (NH 58). I was siting somewhere middle in the bus row.Position was the second column in 2 seater side. A girl age around 16 was siting next to the gap of walking.  Something similar to our positions.A guy age 2425 walk by the the passage and stood between us filling the passage gap.He faced towards the girl having back portion towards me.His lower part and the face level of the girl were approx the same level because hi was standing and the girl was siting. He pushed himself towards the girl using the bus movements many times.The girl was siting with her face down and eyes closed. she was terrified.I  left my seat so that i could give place to that person who was standing and can indirectly help the girl so i walked to a little distance and stood there. but even tough the seat was vacant the man did not took that seat. It was really shameful. I wish i could have done some more help to that girl.,0,0,1
I was touched/groped,0,0,1
When I was traveling in the bus some teen aged boy whistled at me as well as commented nonsense.,1,0,0
One day while I was travelling in a bus a girl was sitting near me and behind her 23 boys were standing and passing cheap comments. The girl knowingly ignored them just because she needed to travel daily.,1,0,0
in evening i was with my friend circle and a group of guys there stunt commenting on girls present in circle.,1,1,0
"I was in metro during evening hours , and some guy was trying to touch me again and again .",0,0,1
ABUSING AND ASKING TO DIE,0,0,0
Her mother was sick and she had no money to buy medicine.  She decided to start washing clothes to get money. A man asked her to wash for him clothes while washing the man came and touched her buttocks.,0,0,1
"around 345pm ,i was in bus no. 448 and one guy suddenly grabbed my phone and ran away.",0,0,0
a man touch a girl on the bus,0,0,1
"we were 3 people including my sister . to reach the destination ,we decided to take the yellow line metro from civil lines. few boys were sitting there and after seeing my sister started whisting and singing cheap songs",0,1,0
No Light,0,0,0
This has been reported by my friend's mother. She witnessed rowdy bikers making an attempt at snatching a woman's jewelry as she was taking her routine walk. The woman raised alarm and a few men came to her rescue. They tried to chase the bikers but they were out of sight right after. The woman was traumatized as she has been residing there for over a decade and had nowhere expected this. She will reporting this matter to the police.,0,0,0
This incident took place three months ago during the night at rooster pub.A man in his late 40's in Indian  clothes sat in the corner and ogling at the girls who were there.He was passing lewd looks and comments to his minors.,0,1,1
There was continuous commenting and whistling outside university stadium in north campus . It happened in afternoon around 2 pm .,1,0,0
misbehaved,1,0,0
"I was on the bus, there were group of boys and they started commenting me that you look pretty. I ignored it but they started to tease me by asking my number.",1,0,0
I boarded a matatu from makina to olympic with a yoiung lady dressed in a mini skirt. The tout together with other gys hanging at the door started talking about her describing how well she is made,1,0,0
Catcalls and indecent exposure,0,0,0
"During night around 8pm , a guy asked me out for going to his place .",0,0,0
"It was a fateful evening when I went to visit a friend of mine and we began discussing together .After that he began going to another level of discussion in which he started telling me how he has always wanted me to be more than a friend to him.I began asking what he meant .He replied that he wanted me to be his girl friend and immediately he wanted sex at that moment and i was refusing while he was insisting .Thanks to God , a friend of his came to his house and i was saved from that",0,1,0
a man followed me from the wednesday market to where i was going. i tried to mislead him so that he does not figure out my home address. i had spotted him in the market,0,0,0
passerby touch us and cars even follow us.,1,0,1
people are scared of chain snatching .I have witness bikers entered in residential area and snatching chain and purses from wom en .Incidents of eve taesing are also increasing now a days,1,0,0
Eve teasing is very common in our college itself. Commenting and teasing etc.,1,1,0
I was followed by 5 boys. They were teasing and following me even in the main streets.,1,0,0
a girl witnessed somebody clicking her pictures although not sure.,0,0,0
I was going to Church on a Sunday when I met a drunkard old man.  He called me and I ignored then he started abusing me saying quotmalaya wewequot meaning you are a prostitute.,1,0,0
A girl was brutally beaten by 23 boys for unknown reasons and no one came forward to help her.It happened in November 2012 in the evening.,0,0,0
eve teasing ...using bad words,1,0,0
called me on the terrace with a greed of chocolates. Followed me to the bus stop for 3 days,0,0,0
"Taking advantage of crowd , guys were trying to touch me during evening hours .",0,0,1
walking back home and suddenly some group of boys grouped around me just trying to talk.It happened in the evening.,1,1,0
Harassed in the evening at GK too,1,1,0
misbehaved,0,0,1
"Found out about this site recently. Some guy kept walking behind me for quite some time. each time I looked back, he would somehow disappear in the crowd. A few steps later, I felt something jabbing at my hips. I spun around and there he was, practically an inch from me. I couldn't get a good look at his face due to his shaggy lank hair which reached his chin. He quickly backed off before I could raise an alarm. The most surprising part was that the  bus stand was jam packed. many people must have noticed but none bothered to interfere. I request all to please beware of such filthy louts.",0,0,1
I was physically touched by a man inside a public bus.,0,0,1
A art and craft group started sending nude pictures of girls and started in line of prostitution.,1,1,1
A man tried to sexually assault me,0,0,1
the market area is very crowded and we can not stop going there. men and boys there will pass us by and touch us and will make excuse that they dont have enough place to go. they also comment on us.,1,0,1
harassed in the bus,0,0,0
34 men staring and started commenting. Sort of eve teasing.,1,1,0
"Catcalls,commenting,touching and others in old delhi.",1,0,1
"whenever i pass that area, shopkeepers comment and then they sometimes give me sexual invites.",1,0,0
"a biker tried touching my breasts, I pushed him, he fell off the bike and hurt himself and started abusing me, I called the police",1,0,1
teacher beating student,0,0,0
"In one of the festival of newars, I saw a live harassment to the girl by group of boys. They were touching here and there part of the girls",0,0,1
there is a boy who lied to me and took me to his friend and he slept with me for 3 days until my mum complained and that is when he threw me out of his house at night,0,0,0
the boys were commenting and trying to grope as we were in a crowded place,1,0,0
My best friend was sexually harasses by her neighbor when she was six years old. She still lives next to him and hasn't informed anyone about it.,0,1,1
"I was on my way home from school when men who were sitting idling whistled at me,I refused to respond to them then they started abusing me.",0,0,0
I saw a scene in mall in the afternoon.A girl was standing outside McD.Two boys came and started commenting and when she didn't reply they started calling her from actress's name and started whistling.,1,1,0
My friend was molested by her neighbour. She informed her parents and he was immediately taken into task.,0,0,1
"I was coming back to my flat from my job in greater noida ,two boys followed my auto and were saying quotHow much do I charge for one night.quot",0,0,0
it was really bad.,1,0,0
the boy groped me and stared like hell,0,0,1
"men gang up and stare all day, in the evenings they pass comments and make it difficult for us to use the block e main road which leads to our homes.",1,1,0
"Whenever me or my friends pass by if boys are sitting around they start commenting, singing songs etc.",1,0,0
"I left my friends place and went to meet a friend of his.  This lady welcomed me very nicely but as we continued chatting, she put ponographic video to play.  It realy made feel uncomfortable since she was my friend's friend.",0,0,0
Two guys followed me and my friend in the metro before boarding and after we got out.They were staring us throughout.,0,0,0
I was stalked by a man from the market to the street I live on. I tried misleading him,0,0,0
"me, my father and my brother were in gopi krishna movie hall. ticket counter was bit crowdy so one guy touched the girl and the girl immediately replied her by shouting at her and later that guy felt shame and he backoff.",1,0,1
"Commenting,ogling and catcalls is something that usually happens in metro.",1,1,0
My friend was raped by her tuition teacher.,1,0,1
the local chawl men have been calling her names cause she has seperated from her husband,1,0,0
"Sexual harassment. One morning when I was going to school with my friends, a guy appraoched us and started asking for the name of my friend.Unfortunately my friend spat on his face.When we were coming back from school, the guy attacked us with his friends, took us to a dark environment gave us the beating of ourlives until we collapsed and only woke up realising ourselves at a hospital",0,0,0
This survey is carried out by safecity (Red dot foundation) along with its safety audit at street markets in Mumbai.,1,1,1
A young girl was harassed in her father's house without her parents knowing .It was later discovered at night when the man was trying to kiss the girl.I don't know why the girl did not report this to her parents .I think she too was inlove with the man,0,0,0
Taking advantage in crowd during rush hours,0,0,1
Exboyfriend calls and blackmails girl,0,1,1
A case of my classmate she was reading in school on one Sunday morning when an unknown man appeared at the widow of the class where she was.The man stood for a long time watching the girl while she was reading and started asking the girl questions after which he entered the class with a cutlass asking the girl to undress.The girl also played a trick on him and escaped but she was wounded on her hand by the man.,0,0,0
i was with my family and was near an amusement park. I was in class 9th and didn't know much about sexual harassment. one person just walked past me and touched me inappropriately.,0,0,1
I did not feel safe.,0,0,0
A girl groped my penis,0,1,1
"This article was written last year when this situation took place. I was barely entering 11th grade. Now, as I leave high school with flashbacks of this day and all the times my body has been the empty canvas for boys to splatter paint on, I will tell you the story of a 10th grader in Gurgaon.quotThe strangers lips grazed upon the ends of my cheek. My bruised arm was pinned down on the dusty grey ground of the room while I kept my alert eyes outside on the faces of unknown men in uniform. They smirked as the stranger slid his snakelike fingers down my body. He struggled to undo the button. I could feel my eyes turn red when I bit him hard into his shoulder and in a small voice said, No, I have to leave. I dont like this. I felt the empty liquor bottle against my legs and his hands against my flesh. I jerked up and pushed him aside. My head buzzed of alcohol and panic as I managed to stand up and look around. Did I really want this? He straightened up and pressed my frail body upon the naked wall. No, I did not. I pushed him aside and ran towards the open hall. Men of all ages stood on the railings, oblivious of the act. My cheeks burned of forced kisses and shame. Holding my shoes in my hands, I scurried through the staircase in the search of a known face. Who was I looking for? Who was I running from? I reached the cold lobby of an office. I stared at the entrance, and there he was my strange glaring at my anxious face. He shoved my stiff self on the closed elevator, seeking to unfasten my pair of shorts. He settled for forcing his slithering fingers down my waist. He whispered, I am going to finger you like an asshole, as I whimpered and hopped away from him. I felt the back of my clothes, seeking for a phone. It wasnt there. A rush of panic and exhaustion, and I fled out of the office to the hallway. I rummaged around the building, exploring every step I took earlier, to search for a prized possession. It was not there. My eyes burned even more now. Tears blinded my vision and settled on my raw cheeks. He was behind me. I rushed downstairs and headed for the busy road. It was broad daylight, as I scuttled barefoot in the search of my friend. It was too late. She was gone, and my stranger was behind me, grabbing my shirt. His strong hands ripped the cloth. My bare back became exposed to the blinking lights and stare of million nameless men. I cried for help but nobody cared enough to hear. I ran faster, without the possession of a phone, money or my bag. Why was I here? I gazed at the crowd nearby. I came to rest on a staircase. Tears ran down my face, unknown figures settled around me but in my head, I knew what to do. Him, I whispered as I strived to punch the familiar number down on a phone.Do you remember the moment when you were child and you had gone astray from your parents in a crammed up market place? How at that moment, you were devoid of any thoughts and the only thought of worth was how to get back to your safe haven? Do you remember the worry on their faces? That moment was of such magnitude. I shook back and forth, glancing through abundant faces, unable to see his delicate features muddled up with concern. Men and women walked past me, putting forward a helping hand but I did not trust them. It was a matter of minutes, when his agonized face rushed past me. I stood up and ran towards his open arms. The world stood still as he held me. I took in the accustomed smell of his cologne and felt a homesick wave crash on the walls of my head. Im scared, hes going to find me. I said, and that was enough for him to know. He took out a grey shirt from his bag and walked me out of the eyesight of alien people. Wear it, he murmured and propped his hand on my shoulders to pull me close. He rescued my other friend from the clutches of my stranger and his friends and departed from the cursed location. The ride ended at my house. He held my face and in a low voice, inaudible to my friend in the next room, asked me for a favour. Dont do anything stupid, he said anxiously, as if reading my mind. The state of my friend was beyond the category of wasted, and following his given duty, he picked her up from the marble floor and led her towards the societys gates. He waved a brief goodbye and timidly walked away from me.Sometimes, you dont need words to explain how you feel. Sometimes, you just know. Like that, I just knew. There, enfolded in his scent from his shirt, I felt possible. I was petrified from the episode, but his face made it easier to breathe in. Sometimes, you dont need to be dating or loving somebody for months to feel comfortable with. You dont need to kiss him, or even have him around you all the time. Just his nervous presence lingering around you in that moment is enough to demonstrate and establish a brief connection. He was my safe haven, even if for those few minutes. I was sorry that it was over but all the more glad, he was there for me. When he said those words on the phone, they were a formality. But standing there in the park, watching him walk towards the gates, I could feel it happening. It may not have been an episode of such importance for him, but for me, it changed everything.Im sorry that the dance ended, but there, in your arms, I swear the world stood impossibly still.quotI attempted suicide a few hours later, but I was saved. And I live to be strong, and tell you this story.",0,0,0
"A man, regular in my bus and my route and after we both got off at the same stop, he touched me in a wrong place and i felt very bad.",0,0,1
"Pinched on the breast at a water park in Mehsana, Gujarat",0,0,1
Four boys were whistling and commenting on girls.It happened in the Night.,1,0,0
"Was walking on the street, a guy stands leaning on the gate of his home and whistles and calls out to me the whole time I cross his home.I take that road daily, except Sunday, to go to music classes.This went on for a month and I finally quit music classes.I was 13 then.",0,0,0
"I was in a meeting and when the meeting was over I went aside talking to my phone and a certain man came and started urinating by the fence,it was so anoying",0,0,0
Age 19 yearsType of harassmentStalking at Leh market (day time)Caltcalls at Choglamsar near Choglamsar bridge (evening),0,0,0
a father in my neighbourhood engaged in sexual activities with his own daughter forcefully,0,0,0
an uncle was beating up his wife in the street outside their house. no one helped the lady. he later went inside and assaulted her further and locked her up,0,0,0
in night 2 3guys were commenting on my clothes,1,0,0
Some boys were staring and catcalling to me when i was going home from school.,0,0,0
several girls were rescued at a video den in mashimoni village where they were being exploited to pornographic films at the video hall,0,0,0
"While travelling at the bus, the man standing behind me was trying to touch me.",1,1,1
Poor Street Lighting,0,0,0
Amazingly rude faces were given to me buy a guy during afternoon hours .,0,1,0
my friend tried kissing me forcibly in the park,0,0,1
This report is regarding the survey conducted on sexual harassment in different forms in a particular area,1,0,1
somebody tires to touch my sensitive part.,1,1,0
Boys in that area were making indecent poses and were following girls who were on their scooty speeding up their bikes and making sounds.,0,0,0
Sticking and touching in bus when there is crowd.Whistling when I walk home.,1,0,1
"Attacked and they tried to grab her gold chain, she was pushed",0,0,0
a group of workers were clicking my pictures as i was running in a park. Multiple pictures were taken. I called the local security guard and snatched their phones and deleted my pictures.,0,0,0
A man tried to touch the woman.,0,0,1
I was in general coach in the metro(kashmere gate) when I saw a group of boys passing comments on a girl.It happened in the evening around 5.,1,1,1
"it was around 8 pm, i got off at the vishwavidyalaya metro station and was getting back to my hostel. i saw a guy following me. after a few minutes, he pulled me back to ask if we can be friends. He touched me inappropriately. i shouted 'no' and ran without looking back to my hostel",0,0,1
middle age man comment on my dress and also try to touch me when i am on my way to home from school,1,0,1
one day i was travelling in metro with my friend in the afternoon then one or two persons came and started commenting on her,1,0,1
I was walking out of the mall with my friend and a middle aged man riding on the bike watching us and making inappropriate faces passed a comment on us. It was so annoying that not only youngsters but grownups also have no respect for women.,1,1,0
